index,contents,class
ham,"개인정보 처리방침 및 위치기반 서비스 이용약관 개정 안내
안녕하세요. 중고나라입니다.

중고나라를 이용해주시는 회원님들께 진심으로 감사드립니다.

중고나라 개인정보 처리방침 및 위치기반 서비스 이용약관이 2023년 04월 12일부로 개정됨을 안내드리오니 서비스 이용에 참고해 주시기 바랍니다.

자세한 내용은 아래 버튼을 통하여 확인해 주시기 바랍니다.


개인정보 처리방침 개정내용 확인
위치기반 서비스 이용약관 개정내용 확인
※ 본 메일은 발신 전용이므로 회신이 되지 않습니다. 궁금하신 사항은 1:1문의를 이용해 주시기 바랍니다.
상호명 : ㈜중고나라 | 대표자 : 홍준 | 서울특별시 서초구 서초대로 301 동익성봉빌딩 7층 | 사업자번호 : 215-87-87482
통신판매업신고번호 : 제2019-서울서초-0097호 | 대표번호 : 1533-7861 | 팩스번호 : 070-8668-5331",
ad,"  여성 남성 잡화/슈즈 골프/스포츠 아울렛
    LFmall 앱 다운로드
앱 다운로드 후 특별한 혜택을 누려보세요!
상품가격은 메일 오픈 시점 및 당사 사정에 따라 변경 될 수 있습니다.
본 메일은 회원님의 메일 수신 동의하에 발송 되었습니다.
이메일 수신을 더 이상 원하지 않으시는 회원님은 수신거부 를 클릭해 주시기 바랍니다. 단, 시스템 적용으로 2~3일 소요될 수 있으므로, 수신거부일로 부터 2~3일내에 메일이 발송된 경우 양해 부탁드립니다.
If you don't want to receive this e-mail anymore, Please click here.
본 메일은 발신전용 메일 입니다. 문의는 고객센터를 이용해 주세요.
사업자등록번호 : 211-87-87724 I 통신판매업신고 : 제 2010-서울강남-00066호 I 개인정보 보호책임자 : 강승훈 I 청소년 보호책임자 : 이재익 I 대표전화: 1544-5114 I 팩스: 031-360-0004 서울 강남구 언주로 870 (주)LF 대표이사 오규식, 온라인사업총괄 도한준
COPYRIGHT? (주)LF. ALL RIGHTS RESERVED.",
ham,"전체 멤버 메일
쇼핑후기 분석, 지디디엔, 게스. 후아유, 크로스핏, 직구 등
디매 쇼핑후기로 보는 23년 봄 트렌드
https://bit.ly/3Uu8Hne

환불과 실패 끝에 찾은 청바지, 지디디엔 리뷰
https://bit.ly/3zGxD1f

게스 23SS 송강 청바지 테스터 20인
https://bit.ly/3KL7SCZ

후아유 23SS 시그니처 엠블럼 카라티 스웨터 40인
https://bit.ly/3KKy1St

'이 운동' 하면 3개월 내로 인생 최대 피지컬 찍습니다
https://bit.ly/3UqPT8q

노숙자 아님, 키아누 리브스 사복 패션
https://bit.ly/3ZVf57S

스트릿 게시판 https://bit.ly/3JWiPjH


언더아머 신세계 시흥 할인 https://bit.ly/3KktUvb
롤렉스 신모델 공개 https://bit.ly/41brSUT
틴더 월 $500 구독 https://bit.ly/3nVFZPQ


24S -20%코드 SPRING20
https://bit.ly/2ISdavQ

매치스 -25% 25GIFTMF
https://bit.ly/2JKhVuQ

SSENSE -350불 무료배송
https://bit.ly/3Ntdfpn

마이테레사 -추가세일
https://bit.ly/2Vx12GE

LN-CC -세일-20% LN-EXTRA-SALE
https://slooks.top/6opJ/65

미스터포터 -10% MRP10THX
https://bit.ly/3FZjOOK
●디젤매니아● 대한민국 일등 패션 커뮤니티 디매인 DMAIN 드림
https://cafe.naver.com/dieselmania
본 메일은 발신전용 입니다. 네이버 서비스관련 궁금하신 사항은 네이버 고객센터에서 확인해주세요.
Copyright ⓒ NAVER Corp. All Rights Reserved.",
ham,"본 컨텐츠는 페이북 선택적 개인정보 수집 및 이용에 동의하신 고객님께 발송 된 메세지입니다.
개인정보 수집 및 이용내역 안내
항상 ISP/페이북 서비스를 이용해 주시는 고객님께 깊은 감사를 드립니다.
“정보통신망 이용 촉진 및 정보보호 등에 관한 법률” 제 30조의 2(개인정보 이용내역통지) 및 동법 시행령 제17조에 의거한 내용이며, 회원님의 메일 수신 동의 여부와 상관없이 연 1회 회원님의 개인정보 이용내역을 안내해 드리고 있습니다.
개인정보의 수집항목 및 이용목적 (선택)
ISP/페이북 서비스의 회원으로 가입하시어 선택약관에 동의하신 경우 아래 정보들을 수집하고 있습니다.
수집하는 개인정보 항목 개인정보 수집 및 활용 목적
-ISP/페이북 서비스 이용 유지를 위한 필수적 수집·이용에 동의한 개인(신용)정보와 활동 정보
-결제정보 : 결제시간, 카드사구분, 발행사구분, 쇼핑몰, 구입상품, 결제금액, 할부(할부여부, 할부개월수)
-구글 AD-ID 및 애플 IDFA 등 광고ID
-페이북 홈페이지 소식지 수신 여부(E-mail뉴스레터, SMS뉴스레터) 등
-회사 및 제휴사의 상품·서비스 안내 및 이용권유 등 마케팅 활동
-이벤트, 쿠폰, 맞춤형 광고 등 마케팅 혜택 정보 안내 및 개인별 맞춤 서비스 제공
-경품 배송에 필요한 정확한 배송지의 확보
-시장조사 및 상품·서비스 연구 개발, 서비스 품질 향상을 위한 설문조사 등 서비스 제반 프로모션 이벤트 활동
개인정보의 제3자 제공
ISP/페이북은 개인정보 제3자 제공에 동의한 고객에 한하여 정보를 제공합니다.
“회원”은 제 3자에게 개인정보 제공 여부에 대해 선택할 수 있으며, 제 3자 정보 제공 및 활용 동의 여부와 관계없이 “ISP/페이북” 서비스에 가입할 수 있습니다.
개인정보의 제3자 제공 자세히 보기 >
※ 본 컨텐츠는 발신전용으로 회신이 불가합니다.
※ 문의사항은 고객센터(1577-3033)로 문의해주시기 바랍니다.
서울시 중구 을지로 170 을지트윈타워 | 브이피㈜    |  사업자번호 220-81-89229
서울시 중구 을지로 170 을지트윈타워 | 비씨카드㈜ | 사업자번호 214-81-37726",
ham,"    [거래] 페이코인(PCI) 거래지원 종료 안내 (04/14 15:00)
  안녕하세요. 가장 신뢰받는 글로벌 표준 디지털 자산 거래소 업비트입니다.
  페이코인(PCI)의 거래지원 종료를 안내드립니다.
페이코인(PCI)은 디지털 자산 거래소 공동협의체(DAXA) 회원사들에 의하여 거래지원이 종료될 예정입니다. DAXA 회원사들은 투자자 보호 차원에서 투자 유의/주의 촉구, 유의/주의종목 지정, 거래지원 종료 등의 조치를 취할 수 있습니다.
  ? 참고 : [거래] 페이코인(PCI) 유의 종목 지정 안내
? 참고 : [거래] 페이코인(PCI) 유의 종목 지정 기간 연장 안내
  [거래 지원 종료 관련 유의사항]
  ? 디지털 자산의 거래지원 종료는 업비트 디지털 자산 거래지원 종료 정책에 의거 합니다.
  : 업비트 디지털 자산 거래 지원 종료 정책
? 해당 디지털 자산은 2023. 4. 14. 15:00에 거래지원을 종료합니다.
? 거래지원 종료 시, 마켓에서 거래지원 종료 이전에 요청한 주문(매수/매도)은 일괄 취소됩니다.
? 본 공지 이후, 거래지원 종료 예정인 디지털 자산에 대한 에어드랍, 월렛 업그레이드, 하드포크 등의 서비스는 지원하지 않을 예정입니다.
  [디지털 자산 거래지원 종료 안내]
  페이코인(PCI)
  ? 대상 마켓 : PCI/BTC
? 거래지원 종료 예정일 : 2023. 4. 14. 15:00 (KST)
? 거래지원 종료 사유
  ? 업비트는 2023. 1. 6. 페이코인(PCI)에 대하여 1) 페이코인 측의 실명확인 입출금계정 발급 및 FIU의 가상자산 사업자 변경 수리여부에 관하여 FIU가 불수리 통보를 한 사실을 확인하고, 2) 페이코인 측이 실명확인 입출금계정 발급 및 가상자산 사업자 변경 신고에 실패하는 경우 PCI 관련 서비스에 중대한 영향이 있을 수 있음을 사유로 하여 PCI를 유의종목으로 지정하였습니다. 업비트는 최초 유의 종목 지정 기간을 2023. 2. 6.까지로 하고, 2023. 3. 31.까지 유의 종목 지정 기간을 연장하여 소명 절차를 진행하였습니다.
  ? 유의 종목 지정 기간 만료일 현재까지 페이코인 측은 실명확인 입출금 계정을 발급받지 못하고 가상자산 사업자 변경 신고를 완료하지 못하는 등 유의 종목 지정 사유를 해소하지 못하였습니다. 이로 인해 PCI를 이용한 국내 결제 사업은 사실상 중지된 것으로 판단됩니다. 업비트는 페이코인 측의 사업계획 변경 및 실명확인 입출금 계정 발급 타임라인 변경을 포함한 재단의 소명 내용을 신중히 검토하였으나 급격한 사업 변동과 해외 결제 사업의 지금까지 성과 및 방향성 등을 고려하였을 때 현 시점 기준 추가적인 투자자 피해가 발생될 수 있다고 판단되어 거래지원 종료를 결정합니다.
  해당 디지털 자산의 마켓 거래지원이 종료되더라도, 거래지원종료정책에 의거하여 거래지원 종료일로부터 30일간(~2023. 5. 14.) 출금을 지원합니다.
위 디지털 자산의 출금이 필요하신 회원님들께서는 반드시 2023. 5. 14. 전까지 출금을 진행해주시기 바랍니다.
*업비트에서 출금 서비스를 지원하는 PCI는 Mainnet 네트워크를 사용하는 PCI 입니다. 이더리움 네트워크 등 타 네트워크로의 출금은 불가합니다.
  디지털자산 거래소 공동협의체(DAXA) 회원사들은 거래지원하고 있는 디지털 자산에 대한 검토를 진행하고 시장 현황을 모니터링하고 있으며, 투자자 주의가 필요한 위기 상황 발생 시 신속한 정보 제공 및 대응을 통한 투자자 보호 조치를 지속적으로 이행해 나가겠습니다.
  고객님의 안전한 거래를 위해 항상 최선을 다하는 업비트가 되겠습니다.
  감사합니다.
      Dear Upbit users,
  We would like to inform you of the termination of market support for PCI(Paycoin) by Digital Asset eXchange Association(DAXA). DAXA may jointly take measures such as urging investment caution/caution, flagging of investment warning, and termination of market support for investor protection.
  ? Reference : [Trade] Investment Warning (PCI)
? Reference : [Trade] Extended investment warning period for PCI(Paycoin)
  [Common notes regarding the termination of market support]
  ? Termination of market support for digital assets is grounded on Upbit's Policy on the termination of market support for digital assets.
  : Upbit's Policy on the termination of market support for digital assets
? Market support for PCI will be terminated at 2023. 4. 14. 15:00.
? Upon the termination of market support, orders (buy / sell) in the market requested prior to the termination of market support will be cancelled.
? After this notice, Upbit will not support services for the digital asset whose market support is to be terminated. This includes services for airdrop, wallet upgrade, hard fork, etc.
  [Termination of market support]
  PCI(Paycoin)
  ? Market : PCI/BTC
? Termination schedule : 2023. 4. 14. 15:00 (KST)
? Reason for the termination of market support
  ? On January 6, 2023, Upbit issued an investment warning for PCI effective until February 6, 2023, after it was confirmed that their application for a real-name verified account issuance was rejected by the Financial Intelligence Unit (FIU), and they failed to be recognized as a Virtual Asset Service Provider (VASP). Upbit recognized the significant impact this outcome would have on PCI's business and further extended the designation period until March 31, 2023, for a thorough clarification process.
  ? Despite the extension, PCI was unable to obtain a real-name verified deposit/withdrawal account and failed to be recognized as a VASP, effectively halting their domestic payment business. Upbit carefully evaluated the contents provided by the PCI foundation, including their business plan and timeline for real-name verified deposit/withdrawal account issuance. However, considering the drastic changes in their business plan and their performance in overseas markets, there is a risk of further investor harm in the future. Therefore, Upbit decided to terminate market support for PCI to prevent further harm to investors.
  Even if market support for the digital asset gets terminated, withdrawals will be supported for 30 days (~ 2023. 5. 14.) from the date of termination in accordance with Upbit's Policy on the termination of market support.
In case you need withdrawal, please make sure to do so before 2023. 5. 14.
*Upbit only supports Mainnet for PCI withdrawal. (Withdrawal through other networks (ex. Ethereum network) cannot be supported.)
  Please be noted that DAXA is on constant review and monitoring for the market and digital assets supported by the member companies. We promise to put our best efforts on investor protection in the state of a crisis by promptly delivering information of accuracy and taking joint actions.
  Please rest assured that Upbit is fully committed to ensuring the safety of your transactions.
  Thank you.
  ※ If there is any discrepancy between the translated English version and the original Korean version, the Korean version shall prevail.
    Notices
      고객센터 1588 - 5682 서울시 강남구 테헤란로4길 14, 2층
두나무 주식회사 대표 이석우 사업자등록번호 119 - 86 - 54968
가상자산사업자 등록번호 2021-01
Copyright ? 2017 - 2023 Dunamu Inc.
All rights reserved.
  메일 수신을 더 이상 원하지 않으시나요?수신 거부하기
 ",
ad,"  여성 남성 잡화/슈즈 골프/스포츠 아울렛
    LFmall 앱 다운로드
앱 다운로드 후 특별한 혜택을 누려보세요!
상품가격은 메일 오픈 시점 및 당사 사정에 따라 변경 될 수 있습니다.
본 메일은 회원님의 메일 수신 동의하에 발송 되었습니다.
이메일 수신을 더 이상 원하지 않으시는 회원님은 수신거부 를 클릭해 주시기 바랍니다. 단, 시스템 적용으로 2~3일 소요될 수 있으므로, 수신거부일로 부터 2~3일내에 메일이 발송된 경우 양해 부탁드립니다.
If you don't want to receive this e-mail anymore, Please click here.
본 메일은 발신전용 메일 입니다. 문의는 고객센터를 이용해 주세요.
사업자등록번호 : 211-87-87724 I 통신판매업신고 : 제 2010-서울강남-00066호 I 개인정보 보호책임자 : 강승훈 I 청소년 보호책임자 : 이재익 I 대표전화: 1544-5114 I 팩스: 031-360-0004 서울 강남구 언주로 870 (주)LF 대표이사 오규식, 온라인사업총괄 도한준
COPYRIGHT? (주)LF. ALL RIGHTS RESERVED.",
ham,"깔끔하게 웹으로 보고싶다면 눌러주세요!
??목차??
1??3분 재테크 꿀팁
놓치면 안되는! 오늘의 주식 꿀팁 5가지
놓치면 안되는 ! 오늘의 부동산 꿀팁 5가지
2??4월 2째주 트렌드
20조원대 규모인데 혁신 없고,경쟁자 없는 시장
애플, 광범위한 문제 발생으로 날씨 앱 복구
맥도날드는 정말 햄버거 회사일까?
2023년 콘텐츠 IP 비즈니스 전망은? 
3??으에에에에엑님만 안 본 서플 콘텐츠
고객도 반기는 광고 문자 발송법
DAU와 가입 유저 수는 좋은 KPI가 아니다
기다리기 싫은 Z세대의 팁
노티드 월드가 특별했던 3가지 이유
??놓치면 안되는! 오늘의 주식 꿀팁 5가지
??놓치면 안되는 ! 오늘의 부동산 꿀팁 5가지
??20조원대 규모인데 혁신도 없고 경쟁자 없는 시장
??애플, 광범위한 문제 발생으로 날씨 앱 복구
??맥도날드는 정말 햄버거 회사일까?
??2023년 콘텐츠 IP 비즈니스 전망은? 
??고객도 반기는 광고 문자 발송법
??DAU와 가입 유저 수는 좋은 KPI가 아니다
??기다리기 싫은 Z세대의 팁
??노티드 월드가 특별했던 3가지 이유

한층 더 똑똑해진 으에에에에엑님,
당신의 성장을 도와드릴게요.
??서플로 놀러오세요!??
??하루 첫 시작을 서플과 함께??

내 직무 사람들이 보는 콘텐츠 나도 보기
누르시면 마음이 찢어져용ㅠㅠ
나중에 우리 다시 만나기로...ㅜ♡ㅜ
수신거부 Unsubscribe",
ham,"2023년 04월 11일
회원님의 계정이 휴면 상태로 전환되었습니다.
안녕하세요, 우*우님.

T아이디는 정보통신망 이용촉진 및 정보보호 등에 관한 법률에 따라,
T아이디로 사용중인 서비스가 없고 1년 이상 접속 이력이 없는 계정에 대해
개인정보 보호를 위한 휴면 정책을 적용합니다.

우*우님은 최종 접속 일로부터 1년 이상
T아이디 로그인 이력이 존재하지 않아, 휴면계정으로 전환되었음을 알려드립니다.
최종 접속 일시 2022년 04월 08일
정상적인 사용을 위해서 T아이디로 가입한 서비스에 로그인 하시고,
안내에 따라 본인 확인을 진행하여 휴면 상태를 해제하시면 됩니다.
본 메일은 발신전용 메일로, 회신되지 않습니다.
T아이디 서비스 관련 궁금한 사항에 대한 자세한 문의는 SK텔레콤 고객센터를 이용해 주시기 바랍니다.
Copyright ? SK TELECOM All Rights Reserved.",
ad,"  여성 남성 잡화/슈즈 골프/스포츠 아울렛
    LFmall 앱 다운로드
앱 다운로드 후 특별한 혜택을 누려보세요!
상품가격은 메일 오픈 시점 및 당사 사정에 따라 변경 될 수 있습니다.
본 메일은 회원님의 메일 수신 동의하에 발송 되었습니다.
이메일 수신을 더 이상 원하지 않으시는 회원님은 수신거부 를 클릭해 주시기 바랍니다. 단, 시스템 적용으로 2~3일 소요될 수 있으므로, 수신거부일로 부터 2~3일내에 메일이 발송된 경우 양해 부탁드립니다.
If you don't want to receive this e-mail anymore, Please click here.
본 메일은 발신전용 메일 입니다. 문의는 고객센터를 이용해 주세요.
사업자등록번호 : 211-87-87724 I 통신판매업신고 : 제 2010-서울강남-00066호 I 개인정보 보호책임자 : 강승훈 I 청소년 보호책임자 : 이재익 I 대표전화: 1544-5114 I 팩스: 031-360-0004 서울 강남구 언주로 870 (주)LF 대표이사 오규식, 온라인사업총괄 도한준
COPYRIGHT? (주)LF. ALL RIGHTS RESERVED.",
ham,"첨부 1개
전체 용량
6KB
첨부 파일 펼침
모두저장
이미지로 보기
주의
파일 저장 시 바이러스 검사 자동 수행
week05(3조)
.ipynb
5.6KB
기한일
제한없음
다운로드
MYBOX 저장
삭제


uluklul

fk ch",
