"Title","Authors","Journal","Year"
" Towards an argumentation system for supporting patients in self-managing their chronic conditions","N Kokciyan, I Sassoon, AP Young -  Thirty-Second AAAI , 2018 - cdn.aaai.org","¡¦ Thirty-Second AAAI ¡¦","2018"
" Learning the influence structure between partially observed stochastic processes using iot sensor data","R Ajoodha, B Rosman -  the thirty-second AAAI conference on artificial , 2018 - cdn.aaai.org","¡¦ the thirty-second AAAI conference on artificial ¡¦","2018"
" R3net: Recurrent residual refinement network for saliency detection","Z Deng, X Hu, L Zhu, X Xu, J Qin, G Han - Proceedings of the 27th , 2018 - ijcai.org","Proceedings of the 27th ¡¦","2018"
" A semantic perspective on belief change in a preferential non-monotonic framework","G Casini, E Fermé, T Meyer, I Varzinczak - Proceedings of the , 2018 - cdn.aaai.org","Proceedings of the ¡¦","2018"
" Multiple-Implementation Testing of Supervised Learning Software.","S Srisakaokul, Z Wu, A Astorga - AAAI , 2018 - aastorg2.web.engr.illinois.edu","AAAI ¡¦","2018"
" Generating regular expressions from natural language specifications: Are we there yet?","Z Zhong, J Guo, W Yang, T Xie, JG Lou, T Liu - AAAI , 2018 - taoxie.cs.illinois.edu","AAAI ¡¦","2018"
"Reverse engineering queries in ontology-enriched systems: The case of expressive Horn description logic ontologies","V Gutierrez Basulto, JC Jung, L Sabellek - 2018 - orca.cardiff.ac.uk","V Gutierrez Basulto, JC Jung, L Sabellek - 2018 - orca.cardiff.ac.uk","2018"
" Personalisation of Exercises in VRET","J Heyse, F Ongenae, F De Backere -  at the Thirty-Second AAAI , 2018 - cdn.aaai.org","¡¦ at the Thirty-Second AAAI ¡¦","2018"
" Why Is an Event Affective? Classifying Affective Events Based on Human Needs.","H Ding, T Jiang, E Riloff - AAAI Workshops, 2018 - jiangtianyu.com","AAAI Workshops","2018"
" Machine learning as a UX design material: how can we imagine beyond automation, recommenders, and reminders?","Q Yang - AAAI Spring Symposia, 2018 - researchgate.net","AAAI Spring Symposia","2018"
" Learning knowledge-guided pose grammar machine for 3d human pose estimation","H Fang, Y Xu, W Wang, X Liu, SC Zhu - AAAI, 2018","H Fang, Y Xu, W Wang, X Liu, SC Zhu - AAAI, 2018","2018"
" Measuring catastrophic forgetting in neural networks","K Ronald, MC Marc, A Angelina, LH Tyler, C Kanan - AAAI, 2018","K Ronald, MC Marc, A Angelina, LH Tyler, C Kanan - AAAI, 2018","2018"
" Image Classification Using Deep Learning and Prior Knowledge.","S Roychowdhury, M Diligenti, M Gori - AAAI Workshops, 2018 - delbp.github.io","AAAI Workshops","2018"
" Personalizing Persuasion Architecture: Privacy Harms and Algorithmic News Media","U Pascal - 2018 - AAAI","U Pascal - 2018 - AAAI","2018"
" Finite query answering in expressive description logics with transitive roles","T Gogacz, Y Ibanez Garcia, F Murlak - 2018 - cdn.aaai.org","T Gogacz, Y Ibanez Garcia, F Murlak - 2018 - cdn.aaai.org","2018"
" Deep reinforcement learning that matters","D Meger - 2018 - AAAI","D Meger - 2018 - AAAI","2018"
" Specifying and Implementing Multi-Party Conversation Rules with Finite-State-Automata.","MG de Bayser, MA Guerra, PR Cavalin - AAAI , 2018 - academia.edu","AAAI ¡¦","2018"
" Inverse Reinforcement Learning Based Human Behavior Modeling for Goal Recognition in Dynamic Local Network Interdiction.","Y Zeng, K Xu, Q Yin, L Qin, Y Zha, W Yeoh - AAAI Workshops, 2018 - planrec.org","AAAI Workshops","2018"
