"Title","Authors"
"ChatGPT for good? On opportunities and challenges of large language models for education","E Kasneci, K Se©¬ler, S Küchemann, M Bannert - Learning and individual , 2023 - Elsevier"
"[HTML][HTML] Attention mechanisms in computer vision: A survey","MH Guo, TX Xu, JJ Liu, ZN Liu, PT Jiang, TJ Mu - Computational visual , 2022 - Springer"
"High-resolution image synthesis with latent diffusion models","R Rombach, A Blattmann, D Lorenz - Proceedings of the , 2022 - openaccess.thecvf.com"
"Robust speech recognition via large-scale weak supervision","A Radford, JW Kim, T Xu, G Brockman - International , 2023 - proceedings.mlr.press"
"A convnet for the 2020s","Z Liu, H Mao, CY Wu, C Feichtenhofer - Proceedings of the , 2022 - openaccess.thecvf.com"
"Palm: Scaling language modeling with pathways","A Chowdhery, S Narang, J Devlin, M Bosma - arXiv preprint arXiv , 2022 - arxiv.org"
"Flamingo: a visual language model for few-shot learning","JB Alayrac, J Donahue, P Luc - Advances in , 2022 - proceedings.neurips.cc"
" Instant neural graphics primitives with a multiresolution hash encoding","T Müller, A Evans, C Schied, A Keller - ACM Transactions on Graphics , 2022 - dl.acm.org"
"Glide: Towards photorealistic image generation and editing with text-guided diffusion models","A Nichol, P Dhariwal, A Ramesh, P Shyam - arXiv preprint arXiv , 2021 - arxiv.org"
" Scaling autoregressive models for content-rich text-to-image generation","J Yu, Y Xu, JY Koh, T Luong, G Baid, Z Wang - arXiv preprint arXiv , 2022 - 3dvar.com"
"Large language models are zero-shot reasoners","T Kojima, SS Gu, M Reid, Y Matsuo - Advances in neural , 2022 - proceedings.neurips.cc"
"Masked-attention mask transformer for universal image segmentation","B Cheng, I Misra, AG Schwing - Proceedings of the , 2022 - openaccess.thecvf.com"
"Data2vec: A general framework for self-supervised learning in speech, vision and language","A Baevski, WN Hsu, Q Xu, A Babu -  on Machine Learning, 2022 - proceedings.mlr.press"
"Bloom: A 176b-parameter open-access multilingual language model","BS Workshop, TL Scao, A Fan, C Akiki - arXiv preprint arXiv , 2022 - arxiv.org"
"Laion-5b: An open large-scale dataset for training next generation image-text models","C Schuhmann, R Beaumont, R Vencu - Advances in , 2022 - proceedings.neurips.cc"
"Exploring plain vision transformer backbones for object detection","Y Li, H Mao, R Girshick, K He - European Conference on Computer Vision, 2022 - Springer"
"Visual prompt tuning","M Jia, L Tang, BC Chen, C Cardie, S Belongie -  on Computer Vision, 2022 - Springer"
"Card: Classification and regression diffusion models","X Han, H Zheng, M Zhou - Advances in Neural Information , 2022 - proceedings.neurips.cc"
"Swin transformer v2: Scaling up capacity and resolution","Z Liu, H Hu, Y Lin, Z Yao, Z Xie, Y Wei - Proceedings of the , 2022 - openaccess.thecvf.com"
"Coca: Contrastive captioners are image-text foundation models","J Yu, Z Wang, V Vasudevan, L Yeung - arXiv preprint arXiv , 2022 - arxiv.org"
"Restormer: Efficient transformer for high-resolution image restoration","SW Zamir, A Arora, S Khan, M Hayat - Proceedings of the , 2022 - openaccess.thecvf.com"
"Lamda: Language models for dialog applications","R Thoppilan, D De Freitas, J Hall, N Shazeer - arXiv preprint arXiv , 2022 - arxiv.org"
"Scaling up your kernels to 31x31: Revisiting large kernel design in cnns","X Ding, X Zhang, J Han, G Ding - Proceedings of the IEEE , 2022 - openaccess.thecvf.com"
"Conditional prompt learning for vision-language models","K Zhou, J Yang, CC Loy, Z Liu - Proceedings of the IEEE , 2022 - openaccess.thecvf.com"
"Masked autoencoders are scalable vision learners","K He, X Chen, S Xie, Y Li, P Dollár - Proceedings of the , 2022 - openaccess.thecvf.com"
"Improving language models by retrieving from trillions of tokens","S Borgeaud, A Mensch, J Hoffmann - International , 2022 - proceedings.mlr.press"
"Videomae: Masked autoencoders are data-efficient learners for self-supervised video pre-training","Z Tong, Y Song, J Wang - Advances in neural , 2022 - proceedings.neurips.cc"
"[HTML][HTML] ¡°So what if ChatGPT wrote it?¡± Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research ¡¦","YK Dwivedi, N Kshetri, L Hughes, EL Slade - International Journal of , 2023 - Elsevier"
"Bevformer: Learning bird's-eye-view representation from multi-camera images via spatiotemporal transformers","Z Li, W Wang, H Li, E Xie, C Sima, T Lu, Y Qiao - European conference on , 2022 - Springer"
"Scalable diffusion models with transformers","W Peebles, S Xie - Proceedings of the IEEE/CVF , 2023 - openaccess.thecvf.com"
"Masked feature prediction for self-supervised visual pre-training","C Wei, H Fan, S Xie, CY Wu, A Yuille - Proceedings of the , 2022 - openaccess.thecvf.com"
"Diffusiondet: Diffusion model for object detection","S Chen, P Sun, Y Song, P Luo - Proceedings of the IEEE , 2023 - openaccess.thecvf.com"
"Beyond the imitation game: Quantifying and extrapolating the capabilities of language models","A Srivastava, A Rastogi, A Rao, AAM Shoeb - arXiv preprint arXiv , 2022 - arxiv.org"
"Competition-level code generation with alphacode","Y Li, D Choi, J Chung, N Kushman, J Schrittwieser - Science, 2022 - science.org"
"[HTML][HTML] Discovering faster matrix multiplication algorithms with reinforcement learning","A Fawzi, M Balog, A Huang, T Hubert - Nature, 2022 - nature.com"
"A generalist agent","S Reed, K Zolna, E Parisotto, SG Colmenarejo - arXiv preprint arXiv , 2022 - arxiv.org"
"Emergent abilities of large language models","J Wei, Y Tay, R Bommasani, C Raffel, B Zoph - arXiv preprint arXiv , 2022 - arxiv.org"
"Evolutionary-scale prediction of atomic-level protein structure with a language model","Z Lin, H Akin, R Rao, B Hie, Z Zhu, W Lu, N Smetanin - Science, 2023 - science.org"
"Masked autoencoders as spatiotemporal learners","C Feichtenhofer, Y Li, K He - Advances in neural , 2022 - proceedings.neurips.cc"
"Segment anything","A Kirillov, E Mintun, N Ravi, H Mao, C Rolland - arXiv preprint arXiv , 2023 - arxiv.org"
"Survey of hallucination in natural language generation","Z Ji, N Lee, R Frieske, T Yu, D Su, Y Xu, E Ishii - ACM Computing , 2023 - dl.acm.org"
"Bytetrack: Multi-object tracking by associating every detection box","Y Zhang, P Sun, Y Jiang, D Yu, F Weng, Z Yuan -  on Computer Vision, 2022 - Springer"
"Grounded language-image pre-training","LH Li, P Zhang, H Zhang, J Yang, C Li - Proceedings of the , 2022 - openaccess.thecvf.com"
"Sparks of artificial general intelligence: Early experiments with gpt-4","S Bubeck, V Chandrasekaran, R Eldan - arXiv preprint arXiv , 2023 - arxiv.org"
"Mvitv2: Improved multiscale vision transformers for classification and detection","Y Li, CY Wu, H Fan, K Mangalam - Proceedings of the , 2022 - openaccess.thecvf.com"
"Simple baselines for image restoration","L Chen, X Chu, X Zhang, J Sun - European Conference on Computer , 2022 - Springer"
"Diffusion-lm improves controllable text generation","X Li, J Thickstun, I Gulrajani - Advances in Neural , 2022 - proceedings.neurips.cc"
"Do as i can, not as i say: Grounding language in robotic affordances","M Ahn, A Brohan, N Brown, Y Chebotar - arXiv preprint arXiv , 2022 - arxiv.org"
"Wavlm: Large-scale self-supervised pre-training for full stack speech processing","S Chen, C Wang, Z Chen, Y Wu, S Liu - IEEE Journal of , 2022 - ieeexplore.ieee.org"
