"Title","Authors","Journal","Year"
"Swinir: Image restoration using swin transformer","J Liang, J Cao, G Sun, K Zhang - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
" Deep learning in optical metrology: a review","C Zuo, J Qian, S Feng, W Yin, Y Li, P Fan - Light: Science & , 2022 - nature.com","Light: Science & ¡¦","2022"
"Vector quantized diffusion model for text-to-image synthesis","S Gu, D Chen, J Bao, F Wen, B Zhang - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"On the opportunities and risks of foundation models","R Bommasani, DA Hudson, E Adeli, R Altman - arXiv preprint arXiv , 2021 - arxiv.org","arXiv preprint arXiv ¡¦","2021"
"Make-a-scene: Scene-based text-to-image generation with human priors","O Gafni, A Polyak, O Ashual, S Sheynin -  on Computer Vision, 2022 - Springer","¡¦ on Computer Vision","2022"
"Structure and content-guided video synthesis with diffusion models","P Esser, J Chiu, P Atighehchian - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"Palette: Image-to-image diffusion models","C Saharia, W Chan, H Chang, C Lee, J Ho - ACM SIGGRAPH 2022 , 2022 - dl.acm.org","ACM SIGGRAPH 2022 ¡¦","2022"
"Blended diffusion for text-driven editing of natural images","O Avrahami, D Lischinski - Proceedings of the IEEE , 2022 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2022"
"An image is worth one word: Personalizing text-to-image generation using textual inversion","R Gal, Y Alaluf, Y Atzmon, O Patashnik - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
"Real-esrgan: Training real-world blind super-resolution with pure synthetic data","X Wang, L Xie, C Dong, Y Shan - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Alias-free generative adversarial networks","T Karras, M Aittala, S Laine - Advances in , 2021 - proceedings.neurips.cc","Advances in ¡¦","2021"
"Stylesdf: High-resolution 3d-consistent image and geometry generation","R Or-El, X Luo, M Shan, E Shechtman - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Make-a-video: Text-to-video generation without text-video data","U Singer, A Polyak, T Hayes, X Yin, J An - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
"Maxvit: Multi-axis vision transformer","Z Tu, H Talebi, H Zhang, F Yang, P Milanfar - European conference on , 2022 - Springer","European conference on ¡¦","2022"
"Zero-shot text-guided object generation with dream fields","A Jain, B Mildenhall, JT Barron - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Physics-informed machine learning","GE Karniadakis, IG Kevrekidis, L Lu - Nature Reviews , 2021 - nature.com","Nature Reviews ¡¦","2021"
"Cascaded diffusion models for high fidelity image generation","J Ho, C Saharia, W Chan, DJ Fleet, M Norouzi - The Journal of Machine , 2022 - dl.acm.org","The Journal of Machine ¡¦","2022"
"StyleGAN-NADA: CLIP-guided domain adaptation of image generators","R Gal, O Patashnik, H Maron, AH Bermano - ACM Transactions on , 2022 - dl.acm.org","ACM Transactions on ¡¦","2022"
"Prompt-to-prompt image editing with cross attention control","A Hertz, R Mokady, J Tenenbaum, K Aberman - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
" Deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions","IH Sarker - SN Computer Science, 2021 - Springer","SN Computer Science","2021"
"Diffusion models beat gans on image synthesis","P Dhariwal, A Nichol - Advances in neural information , 2021 - proceedings.neurips.cc","Advances in neural information ¡¦","2021"
