"Title","Authors","Journal","Year"
" Attention mechanisms in computer vision: A survey","MH Guo, TX Xu, JJ Liu, ZN Liu, PT Jiang, TJ Mu - Computational visual , 2022 - Springer","Computational visual ¡¦","2022"
" Deep learning in optical metrology: a review","C Zuo, J Qian, S Feng, W Yin, Y Li, P Fan - Light: Science & , 2022 - nature.com","Light: Science & ¡¦","2022"
"YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors","CY Wang, A Bochkovskiy - Proceedings of the IEEE , 2023 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2023"
"A convnet for the 2020s","Z Liu, H Mao, CY Wu, C Feichtenhofer - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Exploring plain vision transformer backbones for object detection","Y Li, H Mao, R Girshick, K He - European Conference on Computer Vision, 2022 - Springer","European Conference on Computer Vision","2022"
"Visual prompt tuning","M Jia, L Tang, BC Chen, C Cardie, S Belongie -  on Computer Vision, 2022 - Springer","¡¦ on Computer Vision","2022"
"Masked-attention mask transformer for universal image segmentation","B Cheng, I Misra, AG Schwing - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Coca: Contrastive captioners are image-text foundation models","J Yu, Z Wang, V Vasudevan, L Yeung - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
"Scaling up your kernels to 31x31: Revisiting large kernel design in cnns","X Ding, X Zhang, J Han, G Ding - Proceedings of the IEEE , 2022 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2022"
"Conditional prompt learning for vision-language models","K Zhou, J Yang, CC Loy, Z Liu - Proceedings of the IEEE , 2022 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2022"
"Swin transformer v2: Scaling up capacity and resolution","Z Liu, H Hu, Y Lin, Z Yao, Z Xie, Y Wei - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Masked autoencoders are scalable vision learners","K He, X Chen, S Xie, Y Li, P Dollár - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Scalable diffusion models with transformers","W Peebles, S Xie - Proceedings of the IEEE/CVF , 2023 - openaccess.thecvf.com","Proceedings of the IEEE/CVF ¡¦","2023"
"Bevformer: Learning bird's-eye-view representation from multi-camera images via spatiotemporal transformers","Z Li, W Wang, H Li, E Xie, C Sima, T Lu, Y Qiao - European conference on , 2022 - Springer","European conference on ¡¦","2022"
"Masked feature prediction for self-supervised visual pre-training","C Wei, H Fan, S Xie, CY Wu, A Yuille - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"A generalist agent","S Reed, K Zolna, E Parisotto, SG Colmenarejo - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
"Segment anything","A Kirillov, E Mintun, N Ravi, H Mao, C Rolland - arXiv preprint arXiv , 2023 - arxiv.org","arXiv preprint arXiv ¡¦","2023"
"Grounded language-image pre-training","LH Li, P Zhang, H Zhang, J Yang, C Li - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Simple baselines for image restoration","L Chen, X Chu, X Zhang, J Sun - European Conference on Computer , 2022 - Springer","European Conference on Computer ¡¦","2022"
"Mvitv2: Improved multiscale vision transformers for classification and detection","Y Li, CY Wu, H Fan, K Mangalam - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Metaformer is actually what you need for vision","W Yu, M Luo, P Zhou, C Si, Y Zhou - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Learning to prompt for vision-language models","K Zhou, J Yang, CC Loy, Z Liu - International Journal of Computer Vision, 2022 - Springer","International Journal of Computer Vision","2022"
"Inception transformer","C Si, W Yu, P Zhou, Y Zhou - Advances in Neural , 2022 - proceedings.neurips.cc","Advances in Neural ¡¦","2022"
" Visual attention network","MH Guo, CZ Lu, ZN Liu, MM Cheng, SM Hu - Computational Visual Media, 2023 - Springer","Computational Visual Media","2023"
"TPH-YOLOv5: Improved YOLOv5 based on transformer prediction head for object detection on drone-captured scenarios","X Zhu, S Lyu, X Wang, Q Zhao - Proceedings of the IEEE , 2021 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2021"
"Clip-adapter: Better vision-language models with feature adapters","P Gao, S Geng, R Zhang, T Ma, R Fang - International Journal of , 2023 - Springer","International Journal of ¡¦","2023"
"On the opportunities and risks of foundation models","R Bommasani, DA Hudson, E Adeli, R Altman - arXiv preprint arXiv , 2021 - arxiv.org","arXiv preprint arXiv ¡¦","2021"
"Petr: Position embedding transformation for multi-view 3d object detection","Y Liu, T Wang, X Zhang, J Sun - European Conference on Computer , 2022 - Springer","European Conference on Computer ¡¦","2022"
"Decoupled knowledge distillation","B Zhao, Q Cui, R Song, Y Qiu - Proceedings of the IEEE , 2022 - openaccess.thecvf.com","Proceedings of the IEEE ¡¦","2022"
"Bevdepth: Acquisition of reliable depth for multi-view 3d object detection","Y Li, Z Ge, G Yu, J Yang, Z Wang, Y Shi - Proceedings of the AAAI , 2023 - ojs.aaai.org","Proceedings of the AAAI ¡¦","2023"
"Flexmatch: Boosting semi-supervised learning with curriculum pseudo labeling","B Zhang, Y Wang, W Hou, H Wu - Advances in , 2021 - proceedings.neurips.cc","Advances in ¡¦","2021"
"Dino: Detr with improved denoising anchor boxes for end-to-end object detection","H Zhang, F Li, S Liu, L Zhang, H Su, J Zhu - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
"Lit: Zero-shot transfer with locked-image text tuning","X Zhai, X Wang, B Mustafa, A Steiner - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Detecting twenty-thousand classes using image-level supervision","X Zhou, R Girdhar, A Joulin, P Krähenbühl - European Conference on , 2022 - Springer","European Conference on ¡¦","2022"
"Eva: Exploring the limits of masked visual representation learning at scale","Y Fang, W Wang, B Xie, Q Sun, L Wu - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
" Cellpose 2.0: how to train your own model","M Pachitariu, C Stringer - Nature methods, 2022 - nature.com","Nature methods","2022"
"Deep long-tailed learning: A survey","Y Zhang, B Kang, B Hooi, S Yan - IEEE Transactions on , 2023 - ieeexplore.ieee.org","IEEE Transactions on ¡¦","2023"
"Segnext: Rethinking convolutional attention design for semantic segmentation","MH Guo, CZ Lu, Q Hou, Z Liu - Advances in Neural , 2022 - proceedings.neurips.cc","Advances in Neural ¡¦","2022"
"Dn-detr: Accelerate detr training by introducing query denoising","F Li, H Zhang, S Liu, J Guo, LM Ni - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"YOLOv6: A single-stage object detection framework for industrial applications","C Li, L Li, H Jiang, K Weng, Y Geng, L Li, Z Ke - arXiv preprint arXiv , 2022 - arxiv.org","arXiv preprint arXiv ¡¦","2022"
"Yolox: Exceeding yolo series in 2021","Z Ge, S Liu, F Wang, Z Li, J Sun - arXiv preprint arXiv:2107.08430, 2021 - arxiv.org","arXiv preprint arXiv:2107.08430","2021"
" Highly accurate protein structure prediction with AlphaFold","J Jumper, R Evans, A Pritzel, T Green, M Figurnov - Nature, 2021 - nature.com","Nature","2021"
"Per-pixel classification is not all you need for semantic segmentation","B Cheng, A Schwing, A Kirillov - Advances in Neural , 2021 - proceedings.neurips.cc","Advances in Neural ¡¦","2021"
"Ego4d: Around the world in 3,000 hours of egocentric video","K Grauman, A Westbury, E Byrne - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Early convolutions help transformers see better","T Xiao, M Singh, E Mintun, T Darrell - Advances in neural , 2021 - proceedings.neurips.cc","Advances in neural ¡¦","2021"
"Internimage: Exploring large-scale vision foundation models with deformable convolutions","W Wang, J Dai, Z Chen, Z Huang, Z Li - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"Denseclip: Language-guided dense prediction with context-aware prompting","Y Rao, W Zhao, G Chen, Y Tang - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
" Pvt v2: Improved baselines with pyramid vision transformer","W Wang, E Xie, X Li, DP Fan, K Song, D Liang - Computational Visual , 2022 - Springer","Computational Visual ¡¦","2022"
"Video swin transformer","Z Liu, J Ning, Y Cao, Y Wei, Z Zhang - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Maxvit: Multi-axis vision transformer","Z Tu, H Talebi, H Zhang, F Yang, P Milanfar - European conference on , 2022 - Springer","European conference on ¡¦","2022"
"Null-text inversion for editing real images using guided diffusion models","R Mokady, A Hertz, K Aberman - Proceedings of the , 2023 - openaccess.thecvf.com","Proceedings of the ¡¦","2023"
"Coatnet: Marrying convolution and attention for all data sizes","Z Dai, H Liu, QV Le, M Tan - Advances in neural information , 2021 - proceedings.neurips.cc","Advances in neural information ¡¦","2021"
" A compute-in-memory chip based on resistive random-access memory","W Wan, R Kubendran, C Schaefer, SB Eryilmaz - Nature, 2022 - nature.com","Nature","2022"
"Cswin transformer: A general vision transformer backbone with cross-shaped windows","X Dong, J Bao, D Chen, W Zhang - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Uformer: A general u-shaped transformer for image restoration","Z Wang, X Cun, J Bao, W Zhou - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Scaling vision transformers","X Zhai, A Kolesnikov, N Houlsby - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
